"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 總計"," 臺灣地區"," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
" ","2004",...,4.4,4.6,4.2,4.0,4.6,4.4,4.6,4.6,3.8,4.5,4.2,4.7,4.6,4.8,4.5,4.5,4.8,4.1,4.6,4.6,4.5,2.5,1.1
" ","2005",...,4.1,4.1,3.9,4.1,4.2,4.1,4.2,4.3,3.9,4.1,4.0,4.4,4.2,4.3,4.2,4.2,4.4,4.2,4.3,4.2,4.1,2.4,1.3
" ","2006",...,3.9,3.8,3.7,4.0,4.1,3.8,4.1,4.1,3.4,3.8,3.8,4.2,3.9,3.8,3.7,3.9,4.2,4.1,4.2,4.1,3.9,1.9,0.9
" ","2007",...,3.9,3.8,3.7,4.0,4.0,3.9,4.1,4.0,3.9,3.9,3.8,4.2,3.9,3.8,3.8,3.8,4.1,3.8,4.2,3.8,3.8,2.4,0.7
" ","2008",...,4.1,4.1,4.0,4.3,4.2,4.1,4.3,4.3,4.0,4.2,4.2,4.4,4.0,4.2,4.0,4.0,4.2,4.2,4.3,4.1,4.1,2.6,0.6
" ","2009",...,5.8,5.9,5.8,6.0,5.9,5.8,5.9,5.7,5.9,5.8,5.8,6.0,5.8,5.9,5.8,5.8,5.9,5.7,5.7,5.8,5.8,2.5,0.7
" ","2010",...,5.2,5.2,5.2,5.3,5.2,5.1,5.2,5.1,5.1,5.3,5.2,5.3,5.1,5.1,5.1,5.4,5.4,5.1,5.2,5.2,5.1,2.1,0.6
" ","2011",...,4.4,4.4,4.4,4.4,4.4,4.3,4.4,4.4,4.1,4.4,4.4,4.6,4.3,4.4,4.3,4.6,4.4,4.4,4.5,4.4,4.3,1.9,0.3
" ","2012",...,4.2,4.2,4.3,4.3,4.2,4.2,4.3,4.3,4.0,4.3,4.2,4.4,4.2,4.2,4.2,4.3,4.3,4.2,4.3,4.2,4.0,1.3,0.2
" ","2013",...,4.2,4.2,4.2,4.3,4.1,4.2,4.2,4.3,4.0,4.2,4.0,4.3,4.2,4.1,4.1,4.1,4.1,4.0,4.2,4.1,3.9,1.6,0.3
" ","2014",...,4.0,3.9,4.0,4.0,3.9,4.1,3.9,3.9,3.9,4.1,3.9,4.0,3.9,3.9,3.9,3.9,3.8,3.9,4.0,3.9,3.7,1.0,0.3
" 歲入"
" ","1998",634929.97,628763.85,56981.48,176504.82,31256.93,51381.32,43108.77,85346.16,11374.07,12415.81,15600.16,23881.51,13930.77,16894.54,15053.10,19293.00,10585.05,11788.28,5679.87,11815.37,9363.63,6509.21,5000.25,1165.86
" ","1999",630905.33,624075.14,58607.41,162270.09,33008.48,46438.18,44823.68,88299.24,12251.43,11972.72,14052.70,24514.16,14365.82,18986.69,17260.64,19315.94,10218.57,11995.15,6117.53,11988.09,10101.90,7486.72,5453.30,1376.89
" ","2000",791672.58,778703.57,83163.65,222015.86,38471.51,59479.12,46896.96,103086.92,12652.27,12738.03,17676.55,27998.50,24618.96,20132.55,20639.14,21973.75,10622.78,11471.26,7649.03,15844.28,12787.06,8785.36,10979.80,1989.21
" ","2001",594618.15,584127.15,56844.73,126620.94,21720.79,66171.97,38495.31,73104.27,10627.79,9479.27,13867.23,26195.98,35946.23,15342.50,13653.06,19472.56,8843.39,11427.78,4974.14,12639.16,10779.64,7920.40,8335.78,2155.22
" ","2002",592965.52,584613.52,49586.44,128628.55,32289.37,51254.90,38518.29,84707.74,12334.97,11595.62,16155.65,24824.43,21280.02,15672.70,16040.72,21834.94,9955.58,11154.90,6357.28,13409.90,11031.27,7980.24,6206.77,2145.23
" ","2003",645200.57,634818.74,76324.18,130466.69,34213.30,58189.84,42918.46,88707.17,12409.51,10883.68,16102.32,26159.70,16668.00,18141.20,15798.21,23632.95,10770.18,12544.10,6898.15,13272.61,11815.89,8902.58,7925.80,2456.02
" ","2004",709704.73,697706.93,75308.96,145869.18,41361.21,58690.94,47152.55,106954.52,15551.49,14717.47,15973.52,28119.36,16403.32,21240.04,15849.75,24544.38,10353.89,13237.22,7388.95,15358.70,14194.38,9437.08,9023.04,2974.77
" ","2005",738507.14,726265.19,81846.75,158150.50,37658.59,61962.42,48214.73,120845.21,14499.33,13769.54,17092.31,28960.83,15032.86,21190.58,17081.20,23227.57,9854.38,13449.21,6841.40,15372.81,12276.61,8938.36,9114.17,3127.78
" ","2006",708256.88,696886.07,67984.42,153214.45,36143.16,62324.36,48621.96,106498.39,14421.57,13539.66,15648.60,28219.34,16560.78,20311.42,19009.79,25490.01,10416.03,14355.43,6367.70,15310.27,13181.44,9267.30,8985.90,2384.91
" ","2007",728676.17,716822.92,73200.73,161795.52,36910.09,65913.62,49373.83,94844.64,14364.00,16076.67,16529.28,28996.86,21598.04,21728.95,20669.91,25716.29,10711.60,14772.97,6781.79,14101.81,13933.41,8802.90,9242.25,2611.00
